Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,cnn_per_mw,Mol,TPSA,QED,N_RotBonds
[H]OC(=O)c1c([H])c([H])c([H])c(N([H])C([H])([H])c2c([H])c([H])c([H])c(-c3c(S[H])c(C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])c([H])n([H])c3=O)c2[H])c1[H],1232,fegrow_gen/c1(-c2cccc(CNc3cccc(C(=O)O)c3)c2)c(S)c(C2CCOCC2)c[nH]c1=O.sdf,6.7947,0.0164783516555472,412.341,5,4,4.5349,True,False,True,False,6.60306913045476,-0.0164783516555472,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6ee2c00>,91.42,0.4261887681016223,6
[H]O[C@](c1c([H])c([H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])N([H])C([H])([H])c1c([H])nc([H])c(C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H],9113,fegrow_gen/c1(-c2c([C@@](C)(CNCc3cc(CCc4ccccc4)cnc3)O)ccc(CN)c2)c(S)cc[nH]c1=O.sdf,5.94934,0.0127010836613921,468.412,6,5,3.9668,True,False,True,False,8.30832829328112,-0.0127010836613921,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70c82e0>,104.03,0.2121013235076119,10
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c(F)nc([H])c(OC([H])([H])C([H])([H])[C@@]3([H])OC([H])([H])C([H])([H])C3([H])[H])c2[H])c(=O)c1[H],4245,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2c(F)ncc(OCC[C@@H]3CCCO3)c2)c1=O.sdf,6.40185,0.0154895584573954,413.301,8,1,2.0376,True,False,True,True,7.86640459249117,-0.0154895584573954,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f21e00>,90.73000000000002,0.4277229495345547,6
[H]c1c(Cl)c([H])c(-c2c([H])c([H])c(C([H])([H])N([H])C([H])([H])c3c([H])c(C([H])([H])C([H])([H])N([H])[H])c(=O)n([H])c3[H])c(Cl)c2[H])c([H])c1Cl,15118,fegrow_gen/c1(CCN)cc(CNCc2ccc(-c3cc(Cl)cc(Cl)c3)cc2Cl)c[nH]c1=O.sdf,4.86212,0.0116706752118288,416.61,3,3,4.7931,True,False,False,False,7.67687335637635,-0.0116706752118288,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6d15d20>,70.91,0.4983511553815111,7
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c(F)nc([H])c(OC([H])([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c2[H])c(=O)c1[H],3145,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2c(F)ncc(OCC(=O)NC(C)(C)C)c2)c1=O.sdf,6.51884,0.0152556001759854,427.308,8,2,1.3832,True,False,True,True,7.40622203414812,-0.0152556001759854,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f43840>,110.6,0.4080056815110053,5
[H]C1=C([H])C(=O)N(c2c(SC([H])([H])N(c3c([H])c([H])c4c(c3[H])OC([H])([H])C([H])([H])O4)C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(=O)n([H])c2[H])C1=O,9855,fegrow_gen/c1c(SCN(C(C)C)c2ccc3c(c2)OCCO3)c(N2C(=O)C=CC2=O)c[nH]c1=O.sdf,5.87607,0.0144618940031601,406.314,7,1,2.5401,True,True,True,True,7.78166876579462,-0.0144618940031601,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70f4a50>,91.94,0.4302735393506571,6
[H]C1=C([H])C(=O)N(c2c(SC([H])([H])N(c3c([H])c([H])c4c(c3[H])OC([H])([H])C([H])([H])O4)C(Oc3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(=O)n([H])c2[H])C1=O,2721,fegrow_gen/c1c(SCN(C(C)(C)Oc2ccc(OC)cc2)c2ccc3c(c2)OCCO3)c(N2C(=O)C=CC2=O)c[nH]c1=O.sdf,6.56966,0.0125761836485837,522.389,9,1,3.9554,True,True,True,True,6.88799791166707,-0.0125761836485837,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f4fd10>,110.4,0.2409462830919514,9
[H]O[C@](c1c([H])c([H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])N([H])C([H])([H])c1c([H])nc([H])c(-c2c([H])c([H])nc(C([H])([H])[H])c2[H])c1[H],9395,fegrow_gen/c1(-c2c([C@@](C)(CNCc3cc(-c4ccnc(C)c4)cnc3)O)ccc(CN)c2)c(S)cc[nH]c1=O.sdf,5.92086,0.0129164457882577,458.397,7,5,3.55202,True,False,True,False,8.05799293576022,-0.0129164457882577,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70cfed0>,116.92,0.2427710264876871,8
[H]OC(c1c([H])c([H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])[H],14865,fegrow_gen/c1(-c2c(C(C)(C)O)ccc(CN)c2)c(S)cc[nH]c1=O.sdf,4.9899,0.0183287785956715,272.244,4,4,2.0167,True,False,True,False,7.86514131101638,-0.0183287785956715,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6d0ed50>,79.11,0.6529978408233462,3
[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])N([H])C([H])([H])C1([H])[H],15600,fegrow_gen/c1([C@@H](C)C(C)[C@@H]2CCNC2)ccc[nH]c1=O.sdf,4.26529,0.0213098283338995,200.156,2,2,1.724,True,False,False,False,8.12643993495276,-0.0213098283338995,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6d231b0>,44.89,0.8144303893785603,3
[H]N=C(N([H])[H])N1C([H])([H])C([H])([H])C(c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c2[H])(c2c(S[H])c(-c3c([H])c([H])c([H])c(C([H])([H])N([H])[H])c3[H])c(=O)n([H])c2[H])C([H])([H])C1([H])[H],11533,fegrow_gen/c1(-c2cccc(CN)c2)c(S)c(C2(c3ccc(CC)cc3)CCN(C(=N)N)CC2)c[nH]c1=O.sdf,5.68937,0.0132191957470834,430.387,4,5,3.62707,True,False,True,False,7.8502387169271,-0.0132191957470834,<rdkit.Chem.rdchem.Mol object at 0x7ff0d717aea0>,111.99,0.2268843691605377,5
[H]C1=C([H])C(=O)N(c2c(SC([H])([H])N(c3c([H])c([H])c4c(c3[H])OC([H])([H])[C@]([H])([C@]([H])(N([H])[H])C([H])([H])[H])O4)C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(=O)n([H])c2[H])C1=O,8567,fegrow_gen/c1c(SCN(C(C)C)c2ccc3c(c2)OCC([C@@H](C)N)O3)c(N2C(=O)C=CC2=O)c[nH]c1=O.sdf,6.00401,0.0135121066383402,444.343,8,2,2.2559,True,True,True,True,7.91894822049145,-0.0135121066383402,<rdkit.Chem.rdchem.Mol object at 0x7ff0d78d11c0>,117.95999999999998,0.359458066898462,7
[H]c1nc([C@@]2([H])C([H])([H])[C@@]2([H])c2c([H])c(OC([H])([H])C3([H])C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c([H])n([H])c2=O)n([H])c1[H],14575,fegrow_gen/c1([C@@H]2C[C@@H]2c2ncc[nH]2)cc(OCC2CCNCC2)c[nH]c1=O.sdf,5.11268,0.0174964152861097,292.213,4,3,1.7475,True,False,False,False,7.88090374319189,-0.0174964152861097,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6d06d50>,82.79999999999998,0.7849747023359889,5
[H]O[C@](c1c([H])c([H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])C(=O)c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])C([H])([H])c1c([H])nc([H])c(-c2c([H])c([H])nc(C([H])([H])[H])c2[H])c1[H],5966,fegrow_gen/c1(-c2c([C@@](CC(=O)c3ccc(Cl)cc3)(CNCc3cc(-c4ccnc(C)c4)cnc3)O)ccc(CN)c2)c(S)cc[nH]c1=O.sdf,6.23763,0.0105023689819943,593.926,8,5,5.45852,False,False,True,False,8.25622208685262,-0.0105023689819943,<rdkit.Chem.rdchem.Mol object at 0x7ff0d79115b0>,133.99,0.0972157323848431,11
[H]Sc1c(C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])n([H])c(=O)c1-c1c([H])c(C([H])([H])N([H])[H])c(N([H])C([H])([H])c2c([H])c([H])nc([H])c2[H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c1[H],8170,fegrow_gen/c1(-c2cc(S(=O)(=O)N(C)C)c(NCc3ccncc3)c(CN)c2)c(S)c(C2CCOCC2)c[nH]c1=O.sdf,6.04346,0.0121247492175587,498.44,8,4,2.9407,True,False,True,False,7.59605802908479,-0.0121247492175587,<rdkit.Chem.rdchem.Mol object at 0x7ff0d791a260>,130.41,0.3301576257478469,8
[H]c1nc([C@@]([H])(C([H])([H])[C@@]([H])(c2c([H])c(C([H])([H])C([H])([H])C([H])([H])[H])c([H])n([H])c2=O)C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c(C(F)(F)F)c([H])c1[H],10648,fegrow_gen/c1([C@@H](C)C[C@H](c2ncccc2C(F)(F)F)S(C)(=O)=O)cc(CCC)c[nH]c1=O.sdf,5.79358,0.0147314007033139,393.281,4,1,4.0207,True,False,False,False,7.32743890223373,-0.0147314007033139,<rdkit.Chem.rdchem.Mol object at 0x7ff0d710a810>,79.89,0.7393413302975335,7
[H]O[C@]1([H])C([H])([H])N([C@]2([H])C([H])([H])N([H])[C@@]([H])(Sc3c(N4C(=O)C([H])=C([H])C4=O)c([H])n(-c4c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c4[H])c(=O)c3Br)C2([H])[H])C([H])([H])C1([H])[H],5108,fegrow_gen/c1(Br)c(S[C@H]2CC(N3CC[C@H](O)C3)CN2)c(N2C(=O)C=CC2=O)cn(-c2ccc(N(C)C)cc2)c1=O.sdf,6.31724,0.0115641698259308,546.277,9,2,1.9421,True,True,True,True,8.24493491822312,-0.0115641698259308,<rdkit.Chem.rdchem.Mol object at 0x7ff0d78f9af0>,98.12,0.5059091219542242,6
[H]Oc1c(OC([H])([H])[H])c([H])nc([H])c1-n1c([H])c(N2C(=O)C([H])=C([H])C2=O)c(S[H])c([H])c1=O,10895,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2cncc(OC)c2O)c1=O.sdf,5.76617,0.0172511727818865,334.248,8,2,0.6648,True,False,True,True,6.70958912618747,-0.0172511727818865,<rdkit.Chem.rdchem.Mol object at 0x7ff0d7189540>,101.73,0.6260572866011282,3
[H]C(=O)c1c([H])c([H])c(C([H])([H])Sc2c([H])c([H])n([H])c(=O)c2-c2c([H])c([H])c([H])c3c2c(-c2c([H])c([H])c([H])c([H])c2Cl)c([H])n3[H])c([H])c1Cl,1524,fegrow_gen/c1(-c2cccc3[nH]cc(-c4ccccc4Cl)c23)c(SCc2ccc(C=O)c(Cl)c2)cc[nH]c1=O.sdf,6.74057,0.0138329960885072,487.282,3,2,7.6018,False,False,True,True,7.55891937845178,-0.0138329960885072,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f6ece0>,65.72,0.1844974468726982,6
[H]OC(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C(F)(F)F)c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])[H],13246,fegrow_gen/c1(-c2c(C(C)(C)O)ccc(CNC(=O)C(F)(F)F)c2)c(S)cc[nH]c1=O.sdf,5.43888,0.0147291738319174,369.259,4,4,2.7365,True,False,True,False,7.39148708456759,-0.0147291738319174,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e62d0>,82.19,0.6101489425361157,4
[H]c1nc([H])c([C@]([H])(c2nc(N(C([H])([H])[C@@]([H])([C@@]3([H])C([H])([H])N([H])C([H])([H])C3([H])[H])[C@@]([H])(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])[H])S(=O)(=O)N([H])[H])c([H])c([H])c2[H])C([H])([H])C([H])([H])N([H])C([H])([H])[H])c([H])c1OC([H])([H])[H],3956,fegrow_gen/c1([C@@H](C)[C@@H](CN(S(N)(=O)=O)c2cccc(C(CCNC)c3cncc(OC)c3)n2)[C@@H]2CCNC2)ccc[nH]c1=O.sdf,6.43228,0.01212676746729,530.42,8,4,1.9542,True,False,False,False,8.85625729484306,-0.01212676746729,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f29e70>,155.32999999999998,0.2434850958623798,13
[H]OC(c1c([H])c(P(=O)(O[H])O[H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])[H],14529,fegrow_gen/c1(-c2c(C(C)(C)O)cc(P(=O)(O)O)c(CN)c2)c(S)cc[nH]c1=O.sdf,5.1279,0.014600458408667,351.215,5,6,0.8197,True,False,True,False,7.90683526333587,-0.014600458408667,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6d05930>,136.64,0.3482335889592161,4
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n([H])c(=O)c1Br,14540,fegrow_gen/c1(Br)c(S)c(N2C(=O)C=CC2=O)c[nH]c1=O.sdf,5.12398,0.0173060074776834,296.081,4,2,0.8555,True,False,True,True,5.83103336402191,-0.0173060074776834,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6d05e00>,70.24000000000001,0.5967652830208273,1
[H]c1c(S(=O)(=O)C([H])([H])C([H])([H])[H])nc([C@@]([H])(C([H])([H])[C@@]([H])(c2c([H])c(C([H])([H])C([H])([H])C([H])([H])[H])c([H])n([H])c2=O)C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c(C(F)(F)F)c1[H],7105,fegrow_gen/c1([C@@H](C)C[C@H](c2nc(S(=O)(=O)CC)ccc2C(F)(F)F)S(C)(=O)=O)cc(CCC)c[nH]c1=O.sdf,6.13437,0.0127436181881637,481.368,6,1,3.8143,True,False,False,False,7.70466502471075,-0.0127436181881637,<rdkit.Chem.rdchem.Mol object at 0x7ff0d7974c80>,114.03,0.5509692099206643,9
